# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       3.829330611875e-03      -2.637172767504e+00      -2.648590878382e+00      -2.656059038482e+00      -1.554053983986e-01      -2.568821284448e+00      -2.653563144618e+00       5.750405109262e-01       5.700741307597e-01       1.977701865649e-04       1.952935478667e-03       1.955264491567e-03       1.955264403323e-03       1.796159635589e-04       1.887753135082e-03 
       4.009801403619e-03      -2.666959191516e+00      -2.786382513906e+00      -2.795344957888e+00      -1.590105174494e-01      -2.590805654889e+00      -2.789375868148e+00       5.720405587313e-01       5.677355021596e-01       1.082036834997e-04       2.134563499510e-03       2.137351278778e-03       2.137351172986e-03       9.689073788915e-05       2.059541002214e-03 
       4.198777521744e-03      -2.689492643703e+00      -2.936432055361e+00      -2.947189162673e+00      -1.629335655165e-01      -2.605415314738e+00      -2.937129371837e+00       5.688522994795e-01       5.652160367775e-01       2.152623092519e-06       2.332430831775e-03       2.335767887223e-03       2.335767760440e-03       9.899419631113e-07       2.246448186282e-03 
       4.396659809933e-03      -2.703311601930e+00      -3.099732523724e+00      -3.112648114586e+00      -1.672002971455e-01      -2.611454282232e+00      -3.097801171584e+00       5.654729669166e-01       5.625063584577e-01      -1.203979879681e-04       2.547869902924e-03       2.551866347269e-03       2.551866195385e-03      -1.073083075589e-04       2.449784142087e-03 
       4.603868003049e-03      -2.706924050378e+00      -3.277369700106e+00      -3.292853393004e+00      -1.718385227576e-01      -2.607804914094e+00      -3.272444794141e+00       5.619028008081e-01       5.595990077316e-01      -2.585991617208e-04       2.782323801930e-03       2.787098145927e-03       2.787097964041e-03      -2.263256477898e-04       2.670989091478e-03 
       4.820841617450e-03      -2.698937072760e+00      -3.470441653820e+00      -3.489021442948e+00      -1.768773233530e-01      -2.593504520761e+00      -3.462188798020e+00       5.581404677770e-01       5.564838832206e-01      -4.105606553474e-04       3.037287681997e-03       3.042998876757e-03       3.042998659029e-03      -3.533183471141e-04       2.911619369231e-03 
       5.048040883264e-03      -2.678074271516e+00      -3.680160205981e+00      -3.702450150409e+00      -1.823480165110e-01      -2.567845380874e+00      -3.668250680273e+00       5.541882632848e-01       5.531535496609e-01      -5.729853135625e-04       3.314381764688e-03       3.321210451484e-03       3.321210190956e-03      -4.842573062767e-04       3.173387983114e-03 
       5.285947720594e-03      -2.643338344013e+00      -3.907813651131e+00      -3.934527299647e+00      -1.882845593575e-01      -2.530498977036e+00      -3.891942448382e+00       5.500522333770e-01       5.496034274404e-01      -7.409221958172e-04       3.615338012667e-03       3.623489222495e-03       3.623488910886e-03      -6.137010534849e-04       3.458176749636e-03 
       5.535066761739e-03      -2.594151979476e+00      -4.154708996827e+00      -4.186735054384e+00      -1.947222045791e-01      -2.481616174113e+00      -4.134669196852e+00       5.457364325967e-01       5.458264617621e-01      -9.076222658422e-04       3.941944109047e-03       3.951677933967e-03       3.951677561426e-03      -7.347794993698e-04       3.768008632565e-03 
       5.795926421584e-03      -2.530481337978e+00      -4.422265743570e+00      -4.460650575347e+00      -2.016990317578e-01      -2.421967498722e+00      -4.397947454544e+00       5.412489397668e-01       5.418193830497e-01      -1.064279207257e-03       4.296121507959e-03       4.307739467817e-03       4.307739022636e-03      -8.392471699694e-04       4.105091782400e-03 
       6.069080018443e-03      -2.453027146561e+00      -4.711955912391e+00      -4.757953726290e+00      -2.092556829618e-01      -2.353049404828e+00      -4.683406999696e+00       5.365992471350e-01       5.375806287558e-01      -1.200104324904e-03       4.679887622481e-03       4.693749134263e-03       4.693748602534e-03      -9.178002281155e-04       4.471801011083e-03 
       6.355106947717e-03      -2.363380028378e+00      -5.025351518383e+00      -5.080433339332e+00      -2.174360959993e-01      -2.277167870399e+00      -4.992806757922e+00       5.317998361953e-01       5.331125040066e-01      -1.302518673638e-03       5.095393664526e-03       5.111913513015e-03       5.111912878231e-03      -9.606299968140e-04       4.870685805963e-03 
       6.654613910871e-03      -2.264144253686e+00      -5.364000850195e+00      -5.429981182392e+00      -2.262854995726e-01      -2.197426017867e+00      -5.328013214260e+00       5.268585168322e-01       5.284144046733e-01      -1.357842561898e-03       5.544820366838e-03       5.564515727868e-03       5.564514970452e-03      -9.583287141051e-04       5.304380725261e-03 
       6.968236202330e-03      -2.159037461379e+00      -5.729636241354e+00      -5.808609553167e+00      -2.358538524806e-01      -2.117705605240e+00      -5.691047544782e+00       5.217884874110e-01       5.234934573442e-01      -1.352050816326e-03       6.030551598885e-03       6.054004890514e-03       6.054003987267e-03      -9.030936863779e-04       5.775668280133e-03 
       7.296639057022e-03      -2.052886502832e+00      -6.123973450094e+00      -6.218449530921e+00      -2.461939629676e-01      -2.042455254731e+00      -6.084051468038e+00       5.165996897696e-01       5.183569815091e-01      -1.272497037210e-03       6.555034607051e-03       6.582941828326e-03       6.582940751775e-03      -7.903487389748e-04       6.287350074670e-03 
       7.640519061430e-03      -1.951481578357e+00      -6.548751224183e+00      -6.661755650711e+00      -2.573621215710e-01      -1.976371339322e+00      -6.509290783088e+00       5.112995896981e-01       5.130140637943e-01      -1.109853419313e-03       7.120817045646e-03       7.154015435074e-03       7.154014152713e-03      -6.205511994947e-04       6.842193990816e-03 
       8.000605631151e-03      -1.861291221974e+00      -7.005844439647e+00      -7.140916035195e+00      -2.694192455694e-01      -1.923932844388e+00      -6.969170361389e+00       5.058947702781e-01       5.074778104270e-01      -8.605674241455e-04       7.730624417977e-03       7.770079964427e-03       7.770078437820e-03      -4.010227795408e-04       7.442892471641e-03 
       8.377662558075e-03      -1.788905965510e+00      -7.497016084362e+00      -7.658425992628e+00      -2.824279906266e-01      -1.888744273360e+00      -7.466158017436e+00       5.003822282400e-01       5.017572466999e-01      -5.298098291730e-04       8.387186164099e-03       8.434063586972e-03       8.434061770718e-03      -1.474423362225e-04       8.091872970028e-03 
       8.772489630497e-03      -1.740373924794e+00      -8.024186324058e+00      -8.216936286709e+00      -2.964574043379e-01      -1.872864375359e+00      -8.002845378288e+00       4.947593537832e-01       4.958672103115e-01      -1.341654935780e-04       9.093468655937e-03       9.149116727148e-03       9.149114567650e-03       1.155057951308e-04       8.791382863600e-03 
       9.185924329574e-03      -1.720206199454e+00      -8.589195250325e+00      -8.819222653111e+00      -3.115797512424e-01      -1.876043201724e+00      -8.581861345960e+00       4.890156311568e-01       4.898196470515e-01       2.961825776359e-04       9.852508492254e-03       9.918518927878e-03       9.918516361916e-03       3.550311889118e-04       9.543353962639e-03 
       9.618843605733e-03      -1.730314561814e+00      -9.193810306356e+00      -9.468185516305e+00      -3.278707963118e-01      -1.895150084191e+00      -9.205848223673e+00       4.831340779947e-01       4.836237751140e-01       7.169158834585e-04       1.066743456356e-02       1.074569474749e-02       1.074569170055e-02       5.333003882278e-04       1.034945431791e-02 
